file,method,line,statements,flow_blocks,classification
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/SyncController.java,synchronize,40,8,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/stream/SyncStreamController.java,<init>,66,4,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/stream/SyncStreamController.java,subscribe,85,18,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/stream/SyncStreamController.java,poll,134,11,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/stream/SyncStreamController.java,emit,152,20,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/stream/SyncStreamController.java,closeSender,188,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/stream/SyncStreamController.java,<init>,253,5,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/stream/SyncStreamController.java,failedSubscription,262,8,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/AuthCookies.java,<init>,30,3,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/AuthCookies.java,device,47,10,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/AuthCookies.java,sign,81,4,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/AuthCookies.java,cookie,101,2,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/AuthCookies.java,writeSession,125,4,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpErrors.java,business,42,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpErrors.java,invalid,55,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpErrors.java,conflict,73,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpErrors.java,unexpected,85,2,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpIdentity.java,<init>,17,0,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpIdentity.java,user,27,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpIdentity.java,session,38,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpIdentity.java,access,49,2,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpIdentity.java,cookie,64,6,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpProtocol.java,<init>,77,0,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpProtocol.java,cursor,87,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpProtocol.java,pageSize,98,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpResults.java,<init>,23,0,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpResults.java,capture,34,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpResults.java,failure,51,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpResults.java,required,74,3,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/HttpResults.java,classification,83,4,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/JsonBodyLimit.java,supports,33,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/JsonBodyLimit.java,getBody,73,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/JsonBodyLimit.java,getHeaders,83,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/JsonBodyLimit.java,beforeBodyRead,51,6,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/SessionFilter.java,<init>,40,4,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/SessionFilter.java,doFilterInternal,59,30,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,<init>,49,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,index,62,20,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,initializedClient,104,3,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,client,112,8,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,closeClient,133,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,initialize,141,18,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/converter/VectorOutputConverter.java,id,68,3,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/converter/VectorOutputConverter.java,owner,84,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/converter/VectorOutputConverter.java,search,96,4,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/converter/VectorOutputConverter.java,delete,125,6,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/converter/VectorOutputConverter.java,upsert,147,6,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/converter/VectorOutputConverter.java,row,168,19,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/converter/VectorOutputConverter.java,searchResult,209,4,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/converter/VectorOutputConverter.java,hit,226,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/converter/VectorOutputConverter.java,completed,241,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/mail/output/MailOutAdaptorImpl.java,<init>,27,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/mail/output/MailOutAdaptorImpl.java,deliver,39,28,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/mail/output/converter/MailOutputConverter.java,accepted,21,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/ModelOutAdaptorImpl.java,<init>,41,3,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/ModelOutAdaptorImpl.java,generate,57,30,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/ModelOutAdaptorImpl.java,embed,130,5,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/converter/ModelOutputConverter.java,messages,52,12,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/converter/ModelOutputConverter.java,chat,76,2,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/converter/ModelOutputConverter.java,segments,96,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/converter/ModelOutputConverter.java,embedding,107,3,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/converter/ModelOutputConverter.java,vector,128,10,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/model/ModelStreamHandler.java,<init>,57,3,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/model/ModelStreamHandler.java,onPartialResponse,73,9,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/model/ModelStreamHandler.java,onCompleteResponse,96,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/model/ModelStreamHandler.java,onError,106,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,<init>,41,3,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,process,57,15,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,encoder,114,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,key,118,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,hmac,135,3,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,encrypt,144,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,decrypt,169,5,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,limit,184,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/converter/SecurityOutputConverter.java,value,22,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/converter/SecurityOutputConverter.java,verification,33,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/TravelOutAdaptorImpl.java,<init>,33,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/TravelOutAdaptorImpl.java,consult,46,24,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/TravelOutAdaptorImpl.java,valid,94,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/TravelOutAdaptorImpl.java,geo,98,5,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/TravelOutAdaptorImpl.java,get,111,12,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/converter/TravelOutputConverter.java,notConfigured,29,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/converter/TravelOutputConverter.java,exceeded,39,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/converter/TravelOutputConverter.java,unavailable,49,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/converter/TravelOutputConverter.java,available,60,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/converter/TravelOutputConverter.java,geocode,72,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/converter/TravelOutputConverter.java,weather,84,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/converter/TravelOutputConverter.java,driving,97,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/converter/TravelOutputConverter.java,weatherFacts,116,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/converter/TravelOutputConverter.java,drivingFacts,127,2,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/converter/TravelOutputConverter.java,request,146,3,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/assembler/AuthApplicationAssembler.java,challenge,24,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/assembler/AuthApplicationAssembler.java,account,35,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/assembler/AuthApplicationAssembler.java,checked,47,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/assembler/AuthApplicationAssembler.java,session,62,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/assembler/AuthWriteApplicationAssembler.java,write,32,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/assembler/AuthWriteApplicationAssembler.java,write,43,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/assembler/AuthWriteApplicationAssembler.java,write,54,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/assembler/AuthWriteApplicationAssembler.java,write,65,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/assembler/AuthWriteApplicationAssembler.java,write,76,1,0,single_operation_or_constructor_review
