file,method,line,statements,flow_blocks,classification
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/JsonBodyLimit.java,supports,33,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/JsonBodyLimit.java,getBody,73,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/JsonBodyLimit.java,getHeaders,83,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/JsonBodyLimit.java,beforeBodyRead,51,6,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/SessionFilter.java,<init>,41,3,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/support/SessionFilter.java,doFilterInternal,56,28,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,<init>,52,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,index,63,31,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,client,134,8,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,closeClient,155,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,initialize,163,18,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,validateId,240,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,upsert,247,25,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/mail/output/MailOutAdaptorImpl.java,<init>,25,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/mail/output/MailOutAdaptorImpl.java,deliver,36,28,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/ModelOutAdaptorImpl.java,<init>,41,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/ModelOutAdaptorImpl.java,generate,52,33,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/ModelOutAdaptorImpl.java,embed,140,18,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/model/ModelStreamHandler.java,<init>,57,3,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/model/ModelStreamHandler.java,onPartialResponse,73,9,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/model/ModelStreamHandler.java,onCompleteResponse,96,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/model/ModelStreamHandler.java,onError,106,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,<init>,39,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,process,51,15,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,encoder,115,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,key,119,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,hmac,136,3,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,encrypt,145,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,decrypt,170,5,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,limit,185,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/TravelOutAdaptorImpl.java,<init>,34,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/TravelOutAdaptorImpl.java,consult,45,25,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/TravelOutAdaptorImpl.java,valid,112,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/TravelOutAdaptorImpl.java,geo,116,5,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/TravelOutAdaptorImpl.java,get,129,14,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/command/AuthCommand.java,toString,40,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/service/AuthApplication.java,<init>,21,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/service/AuthApplication.java,authenticate,32,5,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,<init>,57,5,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,perform,77,10,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,secure,91,4,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,email,103,3,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,limit,112,3,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,account,121,2,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,proof,130,17,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,consume,187,4,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,hashPassword,199,3,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,challenge,208,21,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,register,280,11,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,login,313,41,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,session,429,6,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,valid,450,6,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,check,469,2,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,refresh,476,35,3,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,logout,584,8,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,reset,613,18,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,view,665,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/auth/workflow/AuthFlow.java,now,683,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/chat/assembler/ChatApplicationAssembler.java,conversation,27,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/chat/assembler/ChatApplicationAssembler.java,message,44,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/chat/assembler/ChatApplicationAssembler.java,run,63,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/chat/service/ChatApplication.java,<init>,21,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/chat/service/ChatApplication.java,manage,32,5,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,<init>,51,5,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,perform,71,17,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,owned,102,4,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,run,118,7,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,version,140,2,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,active,147,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,result,154,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,bootstrap,167,5,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,list,184,7,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,create,211,7,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,rename,247,8,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,history,283,10,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,submit,326,32,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,commandForRun,462,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,readRun,480,4,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,cancel,498,9,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,retry,527,16,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,erase,582,24,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,context,651,4,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,now,687,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,<init>,79,10,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,dispatch,107,22,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,deliver,166,17,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,email,188,16,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,complete,236,7,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,recovery,277,5,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,reconcile,298,5,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,shutdown,315,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,now,320,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/RetentionJobs.java,<init>,33,4,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/RetentionJobs.java,expire,49,8,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/RetentionJobs.java,expireCredentials,75,16,3,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/RetentionJobs.java,now,139,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/service/KnowledgeApplication.java,<init>,21,1,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/service/KnowledgeApplication.java,manage,32,4,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeFlow.java,<init>,42,5,0,single_operation_or_constructor_review
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeFlow.java,owned,63,4,1,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeFlow.java,perform,86,24,2,flow_checked
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeFlow.java,job,143,2,1,flow_checked
